rel,statut,level,level_conf,type,type_src,pages,chars,math_score,lycee_score,corrupt
9eme/mathematiques/exercices/9-2-2.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,934,2,0,0.0
9eme/mathematiques/exercices/9-2-3.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,1992,3,0,0.0
9eme/mathematiques/exercices/9-2-4.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,916,4,0,0.0
9eme/mathematiques/exercices/9-2-5.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,1023,4,0,0.007
9eme/mathematiques/exercices/9-2-6.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,3,7539,0,0,0.002
9eme/mathematiques/exercices/9-2.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,1,1661,3,0,0.003
9eme/mathematiques/exercices/9-2012-2011-.pdf,CONTENU_MATH_FAIBLE,9e,INCERTAIN,SERIE,DOSSIER,3,5190,1,0,0.001
9eme/mathematiques/exercices/9-2015-2016--2.pdf,MIXTE_college_lycee,9e,CERTAIN,SERIE,DOSSIER,5,10298,10,2,0.0
9eme/mathematiques/exercices/9-2015-2016-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,2,4590,3,0,0.001
9eme/mathematiques/exercices/9-2016-2017--2.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,24,78002,11,1,0.0
9eme/mathematiques/exercices/9-2016-2017-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,14,37537,13,1,0.0
9eme/mathematiques/exercices/9-2017-2018-.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,4,5621,3,0,0.0
9eme/mathematiques/exercices/9-3.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,1,1218,4,0,0.0
9eme/mathematiques/exercices/9.brevet.2009.pdf,VALIDE,9e,INCERTAIN,SERIE,DOSSIER,2,2261,18,1,0.002
9eme/mathematiques/exercices/QCM-9-.pdf,VALIDE,9e,CERTAIN,SERIE,DOSSIER,5,6188,20,0,0.009
9eme/mathematiques/exercices/Serie-d-exercices-10-Math-9eme-2016-2017-Mr-Ayari-Sallem.pdf,ENCODAGE_CORROMPU,9e,CERTAIN,SERIE,NOM_FICHIER,2,2844,4,0,0.566
9eme/mathematiques/exercices/Serie-d-exercices-11-Math-9eme-2016-2017-Mr-Ayari-Sallem.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,878,8,0,0.001
9eme/mathematiques/exercices/Serie-d-exercices-19-Math-9eme-2011-2012-Mr-Dhouib-Ridha.pdf,CONTENU_MATH_FAIBLE,9e,CERTAIN,SERIE,NOM_FICHIER,2,1169,1,0,0.004
9eme/mathematiques/exercices/Serie-d-exercices-Autre-Math-9eme-2023-2024-Mr-Alaya-Mohamed.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,677,7,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-9eme-2010-2011-Mr-gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,4,4138,3,0,0.028
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-9eme-2011-2012-Mr-Gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,2471,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-9eme-2012-2013-Mr-Gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,6,7520,4,0,0.017
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-9eme-2014-2015-Mr-Benabdelkader-Ahmed.pdf,NIVEAU_INCERTAIN,,CONFLIT:8e/9e,SERIE,NOM_FICHIER,4,5534,25,1,0.017
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-IR-9eme-2011-2012-Mr-Gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,1661,5,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-Les-Triangles-Nouveau-programme-9eme-2012-2013-Mr-Gharbi-2.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,4,5076,13,0,0.001
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-Les-Triangles-Nouveau-programme-9eme-2012-2013-Mr-Gharbi-3.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,3629,10,0,0.005
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-Les-Triangles-Nouveau-programme-9eme-2012-2013-Mr-Gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,6,6144,19,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-encadremet-intervalles-9eme-2010-2011-Mr-gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,523,2,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-Math-revision-9eme-2014-2015-Mr-Benabdelkader-Ahmed.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2374,18,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-College-pilote-R-Math-9eme-2011-2012-Mr-gharbi.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,2481,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-4-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,1726,3,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-10.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,840,11,0,0.001
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-11.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,1195,8,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-12.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2447,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-13.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2607,11,0,0.003
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-2.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2607,11,0,0.003
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-3.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,5966,8,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-4.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,1729,9,1,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-5.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2536,10,0,0.001
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-6.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,1488,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-7.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,3,2292,11,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-8.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,3236,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab-9.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2355,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2011-2012-Mr-Mouajria-Hattab.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2447,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2014-2015-Mr-Bboussaffa-Belgacem-.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,2,4070,6,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2014-2015-Mr-bboussaffa-belgacem--2.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,2870,4,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2014-2015-Mr-bboussaffa-belgacem--3.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,2,3154,9,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2014-2015-Mr-bboussaffa-belgacem-1-1-.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,4,5025,7,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2014-2015-Mr-bboussaffa-belgacem.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,1,1850,12,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2015-2016-Mr-Ayari-Sallem-.pdf,ENCODAGE_CORROMPU,9e,CERTAIN,SERIE,NOM_FICHIER,3,3594,10,0,0.443
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2015-2016-Mr-ZOUARI-SAMI.pdf,VALIDE,9e,CERTAIN,SERIE,CONTENU,1,1033,7,1,0.002
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2015-2016-Mr-bboussaffa-belgacem-R-.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2457,7,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-Math-9eme-2017-2018-Mr-Esmiti-Moez.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,523,4,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-N-01-Math-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,1647,5,1,0.0
9eme/mathematiques/exercices/Serie-d-exercices-N-02-Math-9eme-2017-2018-Mr-Mejri-Zied.pdf,ENCODAGE_CORROMPU,9e,CERTAIN,SERIE,NOM_FICHIER,2,1886,3,0,0.188
9eme/mathematiques/exercices/Serie-d-exercices-N-03-Math-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,766,3,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-N-04-Math-R-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2590,2,0,0.0
9eme/mathematiques/exercices/Serie-d-exercices-N-05-Math-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,3173,4,0,0.003
9eme/mathematiques/exercices/Serie-d-exercices-N-06-Math-_-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,2,2384,4,0,0.004
9eme/mathematiques/exercices/Serie-d-exercices-N-07-Math-_-9eme-2017-2018-Mr-Mejri-Zied.pdf,VALIDE,9e,CERTAIN,SERIE,NOM_FICHIER,1,1170,3,0,0.003
